assay	context
E2F1	Cervix
E2F1	Colon
E2F1	MammaryGland
E2F1	Prostate
E2F1	UmbilicalCord
E2F3	Colon
E2F4	Adipose
E2F4	Blood
E2F4	BoneMarrow
E2F4	Breast
E2F4	Cervix
E2F4	Colon
E2F6	BoneMarrow
E2F6	Cervix
E2F6	Embryo
E2F6	Lung
E2F7	Cervix
E2F7	Colon
E2F7	Lung
EBF1	Adipose
EBF1	Blood
EGR1	Blood
EGR1	BoneMarrow
EGR1	Breast
EGR1	Colon
EGR1	Embryo
EGR1	Endometrium
EGR2	Colon
EGR2	EmbryonicKidney
EHF	Colon
EHF	Lung
ELF1	Blood
ELF1	BoneMarrow
ELF1	Brain
ELF1	Breast
ELF1	Colon
ELF1	Liver
ELF1	Lung
ELF1	Prostate
ELF3	Colon
ELF3	Pancreaticductal
ELF4	Colon
ELF5	MammaryGland
ELK1	Blood
ELK1	BoneMarrow
ELK1	Breast
ELK1	Cervix
ELK1	Lung
ELK4	Cervix
ELK4	EmbryonicKidney
ELK4	Prostate
EOMES	Colon
EOMES	Embryo
EPAS1	Colon
EPAS1	Kidney
ERG	Blood
ERG	BoneMarrow
ERG	Breast
ERG	Colon
ERG	Prostate
ESR1	Bone
ESR1	Breast
ESR1	Colon
ESR1	Endometrium
ESR1	MammaryGland
ESR1	Prostate
ESR1	Uterus
ESR1	endometrioidadenocarcinoma
ESRRA	Blood
ESRRA	Breast
ESRRA	Colon
ESRRA	Liver
ETS1	Blood
ETS1	BoneMarrow
ETS1	Lung
ETS1	Pancreas
ETS1	Prostate
ETS1	UmbilicalVein
ETV1	BoneMarrow
ETV1	Prostate
ETV1	Stomach
ETV4	Colon
ETV4	Liver
ETV4	Prostate
FLI1	Blood
FLI1	BoneMarrow
FLI1	Brain
FLI1	Cordblood
FLI1	Muscle
FLI1	Pleura
FLI1	UmbilicalVein
FOS	Blood
FOS	BoneMarrow
FOS	Breast
FOS	Cervix
FOS	Colon
FOS	UmbilicalVein
FOSL1	BoneMarrow
FOSL1	Breast
FOSL1	Colon
FOSL1	Embryo
FOSL1	MammaryGland
FOSL2	Brain
FOSL2	Breast
FOSL2	Endometrium
FOSL2	Liver
FOSL2	Lung
FOXA1	Breast
FOXA1	Colon
FOXA1	Embryo
FOXA1	Endometrium
FOXA1	Liver
FOXA1	Lung
FOXA1	MammaryGland
FOXA1	Pancreaticductal
FOXA1	Prostate
FOXA1	endometrioidadenocarcinoma
FOXA2	Colon
FOXA2	Embryo
FOXA2	Endoderm
FOXA2	Liver
FOXA2	Lung
FOXA2	Skin
FOXD3	Lung
FOXF1	Colon
FOXH1	Embryo
FOXK1	Cervix
FOXK1	Colon
FOXK2	BoneMarrow
FOXK2	Breast
FOXK2	Colon
FOXK2	Liver
FOXM1	Blood
FOXM1	Bone
FOXM1	Brain
FOXM1	Breast
FOXM1	Cervix
FOXM1	Colon
FOXM1	EmbryonicKidney
FOXM1	Endometrium
FOXM1	MammaryGland
FOXO1	Colon
FOXO1	Endometrium
FOXO1	Tonsil
FOXO3	BoneMarrow
FOXO3	Colon
FOXO3	Liver
FOXP1	Blood
FOXP1	BoneMarrow
FOXP1	Colon
FOXP1	Embryo
FOXP1	Prostate
FXR1	Lung
GABPA	Blood
GABPA	BoneMarrow
GABPA	Brain
GABPA	Breast
GABPA	Cervix
GABPA	Embryo
GABPA	Liver
GABPA	Lung
GABPA	Prostate
GATA1	Blood
GATA1	BoneMarrow
GATA1	Colon
GATA1	Cordblood
GATA1	FetalLiver
GATA2	Blood
GATA2	BoneMarrow
GATA2	Colon
GATA2	Cordblood
GATA2	Prostate
GATA2	UmbilicalVein
GATA3	Blood
GATA3	BoneMarrow
GATA3	Brain
GATA3	Breast
GATA3	Embryo
GATA3	Lung
GATA3	MammaryGland
GATA3	Thymus
GATA4	Colon
GATA4	Embryo
GATA4	Liver
GATA4	Lung
GATA4	Skin
GATA4	Stomach
GFI1B	BoneMarrow
GFI1B	EmbryonicKidney
GLI2	Blood
GLI2	Colon
GLI3	Colon
GRHL2	Breast
GRHL2	Bronchia
GRHL2	Colon
GRHL2	Prostate
HAND2	Embryo
HIF1A	Bone
HIF1A	Cervix
HIF1A	Colon
HIF1A	Kidney
HIF1A	Lung
HIF1A	MammaryGland
HIF1A	UmbilicalVein
HINFP	BoneMarrow
HINFP	Colon
HLF	Liver
HNF1A	Colon
HNF1A	Epididymis
HNF1A	Liver
HNF1B	Colon
HNF1B	Embryo
HNF1B	Pancreaticductal
HNF4A	Colon
HNF4A	Embryo
HNF4A	Liver
HOXA1	Colon
HOXA10	Colon
HOXA11	Colon
HOXA13	Colon
HOXA2	Colon
HOXA9	Colon
HOXA9	Kidney
HOXB13	Colon
HOXB13	Prostate
HOXB4	Colon
HOXC9	Brain
HOXD11	Colon
HOXD13	Colon
HSF1	Adipose
HSF1	Bone
HSF1	BoneMarrow
HSF1	Breast
HSF1	Colon
HSF1	Liver
HSF1	Lung
HSF1	MammaryGland
IRF1	Blood
IRF1	BoneMarrow
IRF1	Colon
IRF1	Pancreaticductal
IRF2	BoneMarrow
IRF2	Colon
IRF3	Blood
IRF3	Cervix
IRF3	Colon
IRF3	Liver
IRF4	Blood
IRF4	BoneMarrow
IRF4	Colon
IRF8	Colon
IRF9	BoneMarrow
IRF9	Colon
ISL1	Colon
JUN	BoneMarrow
JUN	Breast
JUN	Cervix
JUN	Colon
JUN	Coronaryarterysmoothmuscle
JUN	Embryo
JUN	Liver
JUN	Lung
JUN	MammaryGland
JUN	UmbilicalVein
JUNB	Blood
JUNB	BoneMarrow
JUNB	Colon
JUND	Blood
JUND	BoneMarrow
JUND	Brain
JUND	Breast
JUND	Cervix
JUND	Colon
JUND	Coronaryarterysmoothmuscle
JUND	Embryo
JUND	Liver
JUND	Lung
JUND	MammaryGland
JUND	Prostate
KLF1	BoneMarrow
KLF1	EmbryonicKidney
KLF10	Colon
KLF10	Liver
KLF10	Lung
KLF3	Colon
KLF4	Brain
KLF4	Breast
KLF4	Embryo
KLF4	Foreskin
KLF4	Lung
KLF4	Pancreaticductal
KLF4	Skin
KLF5	Colon
KLF5	Embryo
KLF5	Headandneck
KLF5	Pancreaticductal
KLF5	Stomach
KLF6	Colon
KLF6	Pancreaticductal
KLF9	Breast
KLF9	EmbryonicKidney
LEF1	BoneMarrow
LEF1	Colon
LEF1	Uterus
LHX2	Colon
LHX3	Colon
MAFB	Colon
MAFB	Foreskin
MAFF	BoneMarrow
MAFF	Colon
MAFF	Liver
MAFK	Blood
MAFK	BoneMarrow
MAFK	Cervix
MAFK	Colon
MAFK	Embryo
MAFK	Liver
MAFK	Lung
MAX	Blood
MAX	BoneMarrow
MAX	Brain
MAX	Breast
MAX	Cervix
MAX	Colon
MAX	Embryo
MAX	Endometrium
MAX	Liver
MAX	Lung
MAX	UmbilicalVein
MAZ	Blood
MAZ	BoneMarrow
MAZ	Cervix
MAZ	Colon
MAZ	EmbryonicKidney
MAZ	Liver
MAZ	Lung
MEF2A	Blood
MEF2A	BoneMarrow
MEF2A	Brain
MEF2A	Colon
MEF2C	Blood
MEF2C	Colon
MEF2C	UmbilicalVein
MEF2D	BoneMarrow
MEF2D	Colon
MEIS1	Cordblood
MITF	Colon
MITF	Skin
MNT	Colon
MNT	Liver
MYB	Blood
MYB	Colon
MYB	PeripheralBlood
MYBL1	Colon
MYBL2	Cervix
MYBL2	Colon
MYBL2	Liver
MYBL2	MammaryGland
MYC	Blood
MYC	Bone
MYC	BoneMarrow
MYC	Brain
MYC	Breast
MYC	Cervix
MYC	Colon
MYC	Embryo
MYC	EmbryonicKidney
MYC	Foreskin
MYC	LNCaPcells
MYC	Liver
MYC	Lung
MYC	MammaryGland
MYC	Prostate
MYC	Skin
MYC	UmbilicalVein
MYCN	BoneMarrow
MYNN	BoneMarrow
MYNN	Colon
MYNN	EmbryonicKidney
MYOD1	Colon
MYOD1	Muscle
MYOG	Embryo
NANOG	Embryo
NANOG	Prostate
NEUROG2	FetalLung
NFATC1	Blood
NFATC1	Colon
NFATC1	UmbilicalVein
NFE2	Blood
NFE2	BoneMarrow
NFE2	FetalLiver
NFE2L2	Blood
NFE2L2	Cervix
NFE2L2	Colon
NFE2L2	Lung
NFIA	BoneMarrow
NFIA	Liver
NFIL3	Colon
NFIL3	Liver
NFKB1	Colon
NFYA	Blood
NFYA	BoneMarrow
NFYA	Cervix
NFYA	Colon
NR1D1	Colon
NR1H2	Blood
NR1H2	Colon
NR2C2	Blood
NR2C2	BoneMarrow
NR2C2	Cervix
NR2C2	Liver
NR2C2	Lung
NR2F1	BoneMarrow
NR2F1	Colon
NR2F1	Cranial
NR2F2	BoneMarrow
NR2F2	Breast
NR2F2	Cervix
NR2F2	Colon
NR2F2	Cranial
NR2F2	Liver
NR2F2	Lung
NR2F6	BoneMarrow
NR2F6	Colon
NR2F6	Liver
NR3C1	Blood
NR3C1	Bone
NR3C1	Breast
NR3C1	Cervix
NR3C1	Colon
NR3C1	EmbryonicKidney
NR3C1	Endometrium
NR3C1	Liver
NR3C1	Lung
NR3C1	Muscle
NR3C1	Prostate
NR4A1	BoneMarrow
NR4A1	Colon
NR5A2	Breast
NR5A2	Colon
NR5A2	Embryo
NRF1	Blood
NRF1	BoneMarrow
NRF1	Brain
NRF1	Breast
NRF1	Cervix
NRF1	Embryo
NRF1	Liver
NRF1	MammaryGland
OTX2	Embryo
PAX3	Muscle
PAX5	Blood
PAX6	Embryo
PAX8	Fallopiantubesecretory
PBX1	Colon
PBX1	MammaryGland
PBX2	BoneMarrow
PBX2	Colon
PBX2	Liver
PBX3	Blood
PBX3	Brain
PBX3	Colon
PBX3	Liver
PBX3	Lung
PDX1	Colon
PDX1	Embryo
PGR	Endometrium
PITX1	Colon
PKNOX1	BoneMarrow
POU2F2	Blood
POU5F1	Embryo
POU5F1	Lung
POU5F1	Skin
PPARA	Colon
PPARG	Adipose
PPARG	Blood
PPARG	Colon
PPARG	Lung
PRDM1	Cervix
PRDM1	Embryo
PRDM1	EmbryonicKidney
PRDM10	EmbryonicKidney
PRDM14	Embryo
RARA	Blood
RARA	BoneMarrow
RARA	Brain
RARA	Breast
RARA	Colon
RARG	Breast
RARG	Colon
RBPJ	Blood
RBPJ	Brain
RBPJ	Breast
RBPJ	Colon
RELA	Blood
RELA	BoneMarrow
RELA	Breast
RELA	Cervix
RELA	Colon
RELA	HeLacontaminant
RELA	Kidney
RELA	Liver
RELA	Lung
RELA	Prostate
RELA	UmbilicalVein
REST	AdrenalGland
REST	Blood
REST	BoneMarrow
REST	Brain
REST	Breast
REST	Cervix
REST	Colon
REST	Embryo
REST	EmbryonicKidney
REST	Endometrium
REST	Liver
REST	Lung
REST	Pancreas
RFX1	BoneMarrow
RFX1	Breast
RFX1	Colon
RFX2	Colon
RFX5	Blood
RFX5	BoneMarrow
RFX5	Brain
RFX5	Cervix
RFX5	Colon
RFX5	Embryo
RFX5	Liver
RFX5	Lung
RORA	Colon
RUNX1	Blood
RUNX1	BoneMarrow
RUNX1	Breast
RUNX1	Colon
RUNX1	Cordblood
RUNX1	FetalLiver
RUNX1	Kidney
RUNX1	Pleura
RUNX1	Prostate
RUNX2	Prostate
RXRA	Blood
RXRA	Brain
RXRA	Breast
RXRA	Colon
RXRA	Embryo
RXRA	Liver
SCRT1	EmbryonicKidney
SF1	AdrenalGland
SIX1	EmbryonicKidney
SIX1	Kidney
SIX2	EmbryonicKidney
SIX2	Kidney
SIX4	Breast
SMAD2	Colon
SMAD2	Embryo
SMAD3	Colon
SMAD3	Embryo
SMAD3	Lung
SMAD3	Skin
SMAD4	Colon
SMAD4	Embryo
SMAD4	Liver
SMAD4	Lung
SNAI1	Colon
SNAI1	EmbryonicKidney
SNAI2	Embryo
SNAPC1	Breast
SNAPC1	Lung
SOX15	Esophagus
SOX17	Embryo
SOX2	Brain
SOX2	Colon
SOX2	Embryo
SOX2	Lung
SOX2	Skin
SOX2	Thyroid
SOX3	Colon
SOX4	Brain
SOX4	Colon
SOX4	FetalLung
SOX9	Colon
SOX9	Embryo
SOX9	Prostate
SP1	Blood
SP1	BoneMarrow
SP1	Breast
SP1	Colon
SP1	Embryo
SP1	EmbryonicKidney
SP1	Liver
SP1	Lung
SP2	BoneMarrow
SP2	Colon
SP2	Embryo
SP2	EmbryonicKidney
SP2	Liver
SPDEF	Breast
SPDEF	Lung
SPI1	Blood
SPI1	BoneMarrow
SPI1	Cervix
SPI1	Cordblood
SPI1	Embryo
SPI1	FetalLiver
SPI1	HeLacontaminant
SPI1	Kidney
SPI1	Liver
SPIB	BoneMarrow
SPIB	Colon
SREBF1	Blood
SREBF1	Breast
SREBF1	Colon
SREBF1	Liver
SREBF2	Blood
SREBF2	Colon
SREBF2	Liver
SRF	Blood
SRF	BoneMarrow
SRF	Breast
SRF	Colon
SRF	Embryo
SRF	Endometrium
SRF	Liver
SRF	Muscle
STAT1	Blood
STAT1	BoneMarrow
STAT1	Cervix
STAT1	Colon
STAT1	Lung
STAT3	Blood
STAT3	BoneMarrow
STAT3	Breast
STAT3	Cervix
STAT3	Colon
STAT3	Embryo
STAT3	Lung
STAT3	LymphNode
STAT3	PeritonealEffusion
STAT3	UmbilicalCord
STAT4	Blood
STAT4	Colon
STAT5A	Blood
STAT5A	BoneMarrow
STAT5A	Colon
STAT6	Blood
STAT6	Colon
STAT6	Cordblood
TAL1	Blood
TAL1	BoneMarrow
TAL1	Colon
TAL1	Cordblood
TAL1	Embryo
TAL1	FetalLiver
TAL1	LymphNode
TAL1	PeripheralBlood
TBP	Blood
TBP	BoneMarrow
TBP	Cervix
TBP	Embryo
TBP	Liver
TBX21	Blood
TCF12	Blood
TCF12	Brain
TCF12	Breast
TCF12	Colon
TCF12	Embryo
TCF12	Endometrium
TCF12	Liver
TCF12	Lung
TCF21	Coronaryarterysmoothmuscle
TCF4	Colon
TCF4	Embryo
TCF7	BoneMarrow
TCF7	Colon
TCF7	Liver
TCF7L1	Blood
TCF7L1	Colon
TCF7L2	Blood
TCF7L2	BoneMarrow
TCF7L2	Breast
TCF7L2	Cervix
TCF7L2	Colon
TCF7L2	EmbryonicKidney
TCF7L2	Liver
TCF7L2	MammaryGland
TCF7L2	Pancreas
TCF7L2	Pleura
TCF7L2	Prostate
TEAD1	Muscle
TEAD2	BoneMarrow
TEAD2	Colon
TEAD4	BoneMarrow
TEAD4	Brain
TEAD4	Breast
TEAD4	Colon
TEAD4	Embryo
TEAD4	Endometrium
TEAD4	Liver
TEAD4	Lung
TFAP2A	Breast
TFAP2A	Cervix
TFAP2A	Colon
TFAP2A	Cranial
TFAP2A	Embryo
TFAP2C	Breast
TFAP2C	Cervix
TFAP2C	Embryo
TFAP2C	MammaryGland
TFAP2C	Skin
TFAP4	Liver
TFE3	Colon
TGIF1	Colon
TGIF2	Liver
THAP11	Embryo
TP53	Blood
TP53	Bone
TP53	Breast
TP53	Colon
TP53	Embryo
TP53	FetalSkin
TP53	Foreskin
TP53	HCT116
TP53	Liver
TP53	Lung
TP53	MammaryGland
TP53	Skin
TP63	Breast
TP63	Foreskin
TP63	Lung
TP63	Prostate
TP63	Skin
TP63	Thyroid
TP73	Blood
TP73	Bone
TP73	Colon
TRPS1	Colon
USF1	Blood
USF1	BoneMarrow
USF1	Brain
USF1	Colon
USF1	Embryo
USF1	Endometrium
USF1	Liver
USF1	Lung
USF2	Blood
USF2	BoneMarrow
USF2	Cervix
USF2	Colon
USF2	Embryo
USF2	Liver
VDR	Blood
VDR	Colon
VDR	Prostate
WT1	EmbryonicKidney
YY1	Blood
YY1	BoneMarrow
YY1	Brain
YY1	Cervix
YY1	Colon
YY1	Embryo
YY1	EmbryonicKidney
YY1	Endometrium
YY1	Liver
YY1	Lung
ZBTB12	EmbryonicKidney
ZBTB18	EmbryonicKidney
ZBTB33	Blood
ZBTB33	BoneMarrow
ZBTB33	Brain
ZBTB33	Colon
ZBTB33	EmbryonicKidney
ZBTB33	Liver
ZBTB33	Lung
ZBTB7A	BoneMarrow
ZBTB7A	EmbryonicKidney
ZBTB7A	Endometrium
ZBTB7A	Liver
ZEB1	Blood
ZEB1	Breast
ZEB1	EmbryonicKidney
ZEB1	Liver
ZEB1	Lung
ZEB1	MammaryGland
ZEB1	Pancreaticductal
ZEB2	BoneMarrow
ZEB2	EmbryonicKidney
ZFP3	EmbryonicKidney
ZFX	Blood
ZFX	BoneMarrow
ZFX	Breast
ZFX	Cerebellum
ZFX	Colon
ZFX	Kidney
ZFX	Prostate
ZIC2	Colon
ZIC2	PeritonealEffusion
ZKSCAN1	BoneMarrow
ZKSCAN1	Breast
ZKSCAN1	Cervix
ZNF136	EmbryonicKidney
ZNF143	Blood
ZNF143	BoneMarrow
ZNF143	Cervix
ZNF143	Colon
ZNF143	Embryo
ZNF143	EmbryonicKidney
ZNF16	EmbryonicKidney
ZNF165	Breast
ZNF263	BoneMarrow
ZNF263	Colon
ZNF263	EmbryonicKidney
ZNF264	EmbryonicKidney
ZNF281	Colon
ZNF281	EmbryonicKidney
ZNF317	EmbryonicKidney
ZNF322	EmbryonicKidney
ZNF341	EmbryonicKidney
ZNF382	EmbryonicKidney
ZNF41	EmbryonicKidney
ZNF467	EmbryonicKidney
ZNF528	EmbryonicKidney
ZNF669	EmbryonicKidney
ZNF692	EmbryonicKidney
ZNF711	BoneMarrow
ZNF711	Breast
ZNF768	EmbryonicKidney
ZSCAN22	EmbryonicKidney
